slug,name,role,origin_character_slug,description_summary,tags,icon_url
unsettling-presence,不安の元凶,killer,the-trapper,脅威範囲内にいる生存者のスキルチェック確率を上昇する,chase,perks/unsettling-presence.png
brutal-strength,野蛮な力,killer,the-trapper,パレットや破壊可能壁の破壊速度、発電機破壊速度を上げる,chase,perks/brutal-strength.png
agitation,興奮,killer,the-trapper,生存者を担いでいる間の移動速度を上昇し脅威範囲を広げる,chase,perks/agitation.png
predator,捕食者,killer,the-wraith,生存者が走った後に残る赤い傷マークの間隔が狭くなる,info,perks/predator.png
bloodhound,血の追跡者,killer,the-wraith,生存者が流した血液が鮮明に表示され追跡が容易になる,info,perks/bloodhound.png
shadowborn,闇より出でし者,killer,the-wraith,自身の視野角が広がり周囲の索敵が格段に行いやすくなる,info,perks/shadowborn.png
enduring,不屈,killer,the-hillbilly,パレットをぶつけられた際のスタン気絶時間が大幅に減少する,chase,perks/enduring.png
lightborn,光より出でし者,killer,the-hillbilly,懐中電灯や閃光手榴弾などによる眩まし効果を完全に防ぐ,chase;info,perks/lightborn.png
tinkerer,ガラクタいじり,killer,the-hillbilly,発電機の修理が一定に達すると探知不可となり通知する,info;stealth;gen-related,perks/tinkerer.png
stridor,喘鳴,killer,the-nurse,生存者のうめき声と通常の呼吸音が大きくなり特定しやすい,info,perks/stridor.png
thanatophobia,死恐怖症,killer,the-nurse,負傷やフック吊り状況に応じて全生存者の作業速度を下げる,gen-related;healing,perks/thanatophobia.png
a-nurses-calling,看護婦の使命,killer,the-nurse,一定範囲内で治療を行っている生存者のオーラを可視化する,aura;info;healing,perks/a-nurses-calling.png
save-the-best-for-last,最後のお楽しみ,killer,the-shape,オブセッション以外への攻撃成功後のクールダウンを短縮する,chase,perks/save-the-best-for-last.png
play-with-your-food,弄ばれる獲物,killer,the-shape,オブセッションをあえて逃がすことで自身の速度を上げる,chase,perks/play-with-your-food.png
dying-light,消えゆく灯,killer,the-shape,オブセッション生存中他生存者の修理や治療の速度を下げる,gen-related;healing,perks/dying-light.png
hex-the-third-seal,呪術：第三の封印,killer,the-hag,攻撃を当てた生存者のオーラ可視能力を封じる呪いをかける,totem;info,perks/hex-the-third-seal.png
hex-ruin,破滅,killer,the-hag,生存者が修理を中断した発電機を自動で後退させる呪いの効果,totem;gen-related,perks/hex-ruin.png
